,Lista bairros
0, Vargem Grande
1, Estácio
2, Anchieta
3, Piedade
4, Osvaldo Cruz
5, Engenho Novo
6, Colégio
7, Realengo
8, Vigário Geral
9, Cavalcanti
10, Olinda
11, Joá
12, Humaitá
13, Pavuna
14, Eng. Pedreira
15, Galeão
16, QUADRA
17, Inhoaíba
18, Penha
19, Taquara
20, Tijuca
21, Rocinha
22, Fundos 
23, Brás de Pina
24, Riachuelo
25, fundos
26, Benfica
27, Santa Teresa
28, Ricardo de Albuquerque
29, Itaipuaçu
30, São Francisco Xavier
31, Cidade Nova
32, Barro Vermelho
33, Prata
34, Rocha Miranda
35,Ferro
36, Campinho
37, Cachambi
38, Vilar dos Teles
39, Jardim Sulacap
40, Santa Cruz
41, Vidigal
42, Alto da Boa Vista
43, Vila da Penha
44, Grajaú
45, Caju
46, Jacarepaguá
47, Água Santa
48, Jardim Botânico
49, Freguesia (Jacarepaguá)
50, Cacuia
51, Lagoa
52, Olaria
53, Galpão 
54, store E 
55, Vasco da Gama
56, Jacaré
57, Bancários
58, Agostinho Porto
59, Sen. Vasconcelos
60, São Cristóvão
61, Higianópolis
62, Cabuís
63, QUADRA G 
64, Praça da Bandeira
65, Pedra de Guaratiba
66, Guadalupe
67, Anil
68, Guaratiba
69, Maracanã
70, Parque Paulista
71, Acari
72, Jardim Maravilha
73, Bangu
74, Campo Grande
75, Sepetiba
76, Parque Analândia
77, Tanque
78, Abolição
79, Gávea
80, Ipanema
81, Mangueira
82, Coelho da Rocha
83, vila alianca e bangu
84, Curicica
85, Frente 
86, Padre Miguel
87, Complexo do Alemão
88, Recreio dos Bandeirantes · Rio de Janeiro · CEP:
89, Flamengo
90, Praça Seca
91, Mal. Hermes
92, Barra da Tijuca
93, Jacarepaguá (Rio das Pedras)
94, Vicente de Carvalho
95, Costa Barros
96, Maria da Graça
97, Bento Ribeiro
98, Cascadura
99, Bonsucesso
100, Vila Isabel
101, Honório Gurgel
102, Cordovil
103, Maré
104, BNH
105, Barra de Guaratiba
106, Ilha de Guaratiba
107, Engenho da Rainha
108, Coelho Neto
109, Batam 
110, Parada de Lucas
111, Saúde
112, Jardim América
113, Tomás Coelho
114, Inhaúma
115, Todos os Santos
116, Freguesia (Ilha)
117, Botafogo
118, Pilares
119, Del Castilho
120, Copacabana
121, Madureira
122, Pechincha
123, Gamboa
124, Cosmos
125, Quintino
126, Itanhangá
127, Vista Alegre
128, Conj. Otacilio Camara
129, Mangueirinha
130, Engenho de Dentro
131, Lins de Vasconcelos
132, Zumbi
133, Penha Circular
134, Vila Emil
135, Manguinhos
136, Jardim Carioca
137, Centro
138, Jabour
139, Méier
140, Urca
141, Jacarezinho
142, Jardim Guanabara
143, Catete
144, Quintino Bocaiúva
145, Conjunto Quafá
146, Turiaçú
147, Vila kennedy
148, Rio das Pedras
149, Santíssimo
150, Magalhães Bastos
151, Pechincha (Jacarepaguá)
152, Recreio dos Bandeirantes
153, Parque Duque
154, Catumbi
155, Vila Militar
156, Vic. de Carvalho
157, Barros Filho
158, Encantado
159, Vargem Pequena
160, Sampaio
161, Pitangueiras
162, Cidade de Deus
163, Gardênia Azul
164, Ilha do Governador
165, Eng. Leal
166, Leblon
167, Cocotá
168, Paiol de Pólvora
169, Glória
170, Paciência
171, Vila Kennedy
172, parte Santissimo 
173, Moneró
174, Andaraí
175, Parque Sarapuí
176, Santo Cristo
177, Jardim Paraíso
178, Ilha do governador
179, Portuguesa
180, Higienópolis
181, Tauá
182, Rocha
183, Vaz Lobo
184, Vila Kosmos
185, Leme
186, Arrozal
187, Deodoro
188, Laranjeiras
189, Ramos
190, Vila Tiradentes
191, São Conrado
192, Rio Comprido
193, Senador Camará
194, Parque Juriti
195, Lapa
196, Irajá
197, Vila Valqueire
