,Unnamed: 0.1,Unnamed: 0,Empresas,Endereços,Link Maps,Tipo,Latitude,Longitude
0,0,0,Jofer Materiais Construção Ltda,"Av. Dom Hélder Câmara, 7370 - Abolição, Rio de Janeiro - RJ, 20751-002",https://www.google.com/maps/place/Jofer+Materiais+Constru%C3%A7%C3%A3o+Ltda/data=!4m7!3m6!1s0x997d029b2ca87f:0xd5c4e2702dd2691e!8m2!3d-22.8850049!4d-43.2987152!16s%2Fg%2F1tdgr132!19sChIJf6gsmwJ9mQARHmnSLXDixNU?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.8850049,-43.2987152
1,1,1,FERRAGENS RION LTDA,"Av. Dom Hélder Câmara, 7667 - Abolição, Rio de Janeiro - RJ, 20751-003",https://www.google.com/maps/place/FERRAGENS+RION+LTDA/data=!4m7!3m6!1s0x997d1d21862c67:0x549c9f14ecc0d613!8m2!3d-22.8857477!4d-43.3015343!16s%2Fg%2F1tddtdy0!19sChIJZyyGIR19mQARE9bA7BSfnFQ?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.8857477,-43.3015343
2,2,2,Abolição material de construção,"R. Teixeira de Azevedo, 259 - Abolição, Rio de Janeiro - RJ, 20755-260",https://www.google.com/maps/place/Aboli%C3%A7%C3%A3o+material+de+constru%C3%A7%C3%A3o/data=!4m7!3m6!1s0x997d6ad85e1c43:0x89d09bb791d7b24c!8m2!3d-22.8897569!4d-43.2980805!16s%2Fg%2F11sdslky2x!19sChIJQxxe2Gp9mQARTLLXkbeb0Ik?authuser=0&hl=pt-BR&rclk=1,Loja de Material Hidráulico,-22.8897569,-43.2980805
3,3,3,BIGU Materiais de Construção,"R. da Abolição, 602 - loja A - Abolição, Rio de Janeiro - RJ, 20755-170",https://www.google.com/maps/place/BIGU+Materiais+de+Constru%C3%A7%C3%A3o/data=!4m7!3m6!1s0x997d5c86cb207d:0x8d42bec753f13cfa!8m2!3d-22.8859814!4d-43.297486!16s%2Fg%2F11vr2s40g2!19sChIJfSDLhlx9mQAR-jzxU8e-Qo0?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.8859814,-43.297486
4,4,4,Distribuidora Maralex,"R. da Abolição, 602 - Abolição, Rio de Janeiro - RJ, 20755-170",https://www.google.com/maps/place/Distribuidora+Maralex/data=!4m7!3m6!1s0x997d0267a52afd:0x17d05def24a3d2dc!8m2!3d-22.8860243!4d-43.2975672!16s%2Fg%2F1pv5v0ft4!19sChIJ_SqlZwJ9mQAR3NKjJO9d0Bc?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.8860243,-43.2975672
5,5,5,Abolimate material de construção,"Av. Dom Hélder Câmara, 7924 - Piedade, Rio de Janeiro - RJ, 20751-003",https://www.google.com/maps/place/Abolimate+material+de+constru%C3%A7%C3%A3o/data=!4m7!3m6!1s0x997d1c69696969:0x5bbd827ca44de234!8m2!3d-22.8866013!4d-43.303789!16s%2Fg%2F1q5bn1v66!19sChIJaWlpaRx9mQARNOJNpHyCvVs?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.8866013,-43.303789
6,7,7,Construlhão - Elefante da Construção,"R. Guilhermina, 226 - Encantado, Rio de Janeiro - RJ, 20756-060",https://www.google.com/maps/place/Construlh%C3%A3o+-+Elefante+da+Constru%C3%A7%C3%A3o/data=!4m7!3m6!1s0x997d100fd72b0b:0xb6bd62e993b8d722!8m2!3d-22.8932528!4d-43.3008264!16s%2Fg%2F11b6hh75nm!19sChIJCyvXDxB9mQARIte4k-livbY?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.8932528,-43.3008264
7,8,8,Rede Construir Materiais de Construção,"R. Guilhermina, 52 - Encantado, Rio de Janeiro - RJ, 20756-060",https://www.google.com/maps/place/Rede+Construir+Materiais+de+Constru%C3%A7%C3%A3o/data=!4m7!3m6!1s0x997d102ffb891b:0x9f379b81000ef681!8m2!3d-22.8948445!4d-43.3009242!16s%2Fg%2F1tdbgnhz!19sChIJG4n7LxB9mQARgfYOAIGbN58?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.8948445,-43.3009242
8,9,9,Kilohana com é representacoes,"R. da Abolição, 461 - Loja C - Abolição, Rio de Janeiro - RJ, 20755-170",https://www.google.com/maps/place/Kilohana+com+%C3%A9+representacoes/data=!4m7!3m6!1s0x997d02490d8411:0xde718725b4c49ab1!8m2!3d-22.887184!4d-43.297067!16s%2Fg%2F1tdmlpwr!19sChIJEYQNSQJ9mQARsZrEtCWHcd4?authuser=0&hl=pt-BR&rclk=1,Loja de ferramentas,-22.887184,-43.297067
9,10,10,Trena Ferragens Material de Construção - Pilares,"R. Glaziou, 20 - Loja - Pilares, Rio de Janeiro - RJ, 20750-010",https://www.google.com/maps/place/Trena+Ferragens+Material+de+Constru%C3%A7%C3%A3o+-+Pilares/data=!4m7!3m6!1s0x997cf948f0e7b9:0x36e190c2dcdb6780!8m2!3d-22.8806985!4d-43.2946623!16s%2Fg%2F1pv1nv1dx!19sChIJuefwSPl8mQARgGfb3MKQ4TY?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.8806985,-43.2946623
